repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
1,16,logistic,2023,16,0.0079090459713297,0.5029583956153463,0.0117695849770549,0.0079477231385193,0.007848422622071222,-0.012652289667585803
1,16,random_forest,2023,16,0.0079090459713297,0.5699738415545591,0.0125695411914869,0.0078449347064125,0.007848422622071222,0.00044440976571691326
1,16,xgboost,2023,16,0.0079090459713297,0.5686970602889886,0.0131725044759364,0.0078506535939554,0.007848422622071222,-0.00028425735865744706
1,17,logistic,2037,37,0.0181639666175748,0.3700135135135134,0.0136244583640456,0.0178987448285671,0.01787113914948033,-0.0015447072990630861
1,17,random_forest,2037,37,0.0181639666175748,0.4417027027027027,0.0164673169959982,0.0178821692551572,0.01787113914948033,-0.0006172021595609589
1,17,xgboost,2037,37,0.0181639666175748,0.3605945945945945,0.0139638324299973,0.0178777504741586,0.01787113914948033,-0.0003699442225237881
1,18,logistic,2034,24,0.0117994100294985,0.4458851575456052,0.0103826866530018,0.0117059141325372,0.011690423411580324,-0.001325077836062949
1,18,random_forest,2034,24,0.0117994100294985,0.3577425373134328,0.0089295556077057,0.0117013317513502,0.011690423411580324,-0.0009331004862553893
1,18,xgboost,2034,24,0.0117994100294985,0.355700663349917,0.0088285342942357,0.0116992147443805,0.011690423411580324,-0.0007520114961334645
1,19,logistic,2027,24,0.0118401578687715,0.3987144283574638,0.0110904970270915,0.0117150414324166,0.011707184102787645,-0.0006711545287036991
1,19,random_forest,2027,24,0.0118401578687715,0.4933849226160759,0.0144069036548043,0.0116987045034534,0.011707184102787645,0.0007243073364009422
1,19,xgboost,2027,24,0.0118401578687715,0.4918455649858545,0.0128380999622798,0.0117158204397014,0.011707184102787645,-0.0007376954900450983
1,20,logistic,2020,21,0.0103960396039603,0.3737940398770814,0.0088088047891474,0.0103076051727376,0.010300734929393658,-0.0006669663272604875
1,20,random_forest,2020,21,0.0103960396039603,0.3359179589794897,0.0074974660621988,0.0103053546053896,0.010300734929393658,-0.0004484802324891124
1,20,xgboost,2020,21,0.0103960396039603,0.4094070844946282,0.0088992542568354,0.0103035460113441,0.010300734929393658,-0.0002729011055726538
2,0,logistic,2036,30,0.0147347740667976,0.3667414423396477,0.0110236996436626,0.0145709808106642,0.014555375727777176,-0.0010721181767394672
2,0,random_forest,2036,30,0.0147347740667976,0.3533150548354935,0.0113892902682948,0.0145507040739035,0.014555375727777176,0.00032095728485803665
2,0,xgboost,2036,30,0.0147347740667976,0.3620305749418411,0.0217607103317896,0.0145618505999953,0.014555375727777176,-0.0004448440451980673
2,1,logistic,2043,47,0.0230053842388644,0.5705560056282778,0.0279802681687015,0.0225184073366863,0.02248945161624275,-0.0012875245220580478
2,1,random_forest,2043,47,0.0230053842388644,0.5161919583848549,0.0234357219276629,0.0224921592279345,0.02248945161624275,-0.00012039474051883658
2,1,xgboost,2043,47,0.0230053842388644,0.4620304438664563,0.0210249426474227,0.0225093522751278,0.02248945161624275,-0.0008848885790828653
2,2,logistic,2033,22,0.0108214461387112,0.6455404366891189,0.0199867071064993,0.0106943611551087,0.010707806121146619,0.0012556228498914468
2,2,random_forest,2033,22,0.0108214461387112,0.6991998553410786,0.022037209459355,0.0107085326258915,0.010707806121146619,-6.784814150173624e-05
2,2,xgboost,2033,22,0.0108214461387112,0.6941593960490031,0.0226492466094273,0.0107170210373509,0.010707806121146619,-0.000860579291408925
2,3,logistic,2044,27,0.0132093933463796,0.4208303494371913,0.0116755682828374,0.0130653329490126,0.013052449497390973,-0.0009870524014823356
2,3,random_forest,2044,27,0.0132093933463796,0.3933785049303145,0.0110239172746159,0.0130594855664922,0.013052449497390973,-0.000539061200936608
2,3,xgboost,2044,27,0.0132093933463796,0.4574083255292973,0.0125549997528902,0.0130526008337338,0.013052449497390973,-1.1594478328103008e-05
2,4,logistic,2053,26,0.0126643935703848,0.4769458464574399,0.013516719869784,0.0125198695729989,0.012516493483026343,-0.00026973129312413135
2,4,random_forest,2053,26,0.0126643935703848,0.3405847975408903,0.0090945824316344,0.0125501813687341,0.012516493483026343,-0.002691479506895522
2,4,xgboost,2053,26,0.0126643935703848,0.3926985693142575,0.0098440747948222,0.0125287874861505,0.012516493483026343,-0.000982224226044437
2,5,logistic,2050,24,0.0117073170731707,0.466415761763738,0.0106725355346515,0.0115850633814968,0.011582736567986867,-0.00020088633599457673
2,5,random_forest,2050,24,0.0117073170731707,0.3919257979598552,0.0095122261860528,0.0116095982110772,0.011582736567986867,-0.0023191102493493876
2,5,xgboost,2050,24,0.0117073170731707,0.4053759460348799,0.0094660719601997,0.0116088113493624,0.011582736567986867,-0.0022511762416836945
2,6,logistic,2045,26,0.0127139364303178,0.6006591229473844,0.0166070289512952,0.0125552181436952,0.012554953624821735,-2.1068884949348998e-05
2,6,random_forest,2045,26,0.0127139364303178,0.5621785346896789,0.0174735049469168,0.0125672721848344,0.012554953624821735,-0.0009811712875076317
